table,rows,class,kind,domain,D,P,E,W,T,M,missing,priority,exec_evidence,witness,transfer
freshpath_orders,1,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,1,0,W,56.25,"reader_fn:freshpath_stage_durations_v1,freshpath_service_level_v1,freshpath_now_board_v1; fk_child_rows:band_arrival_events,freshpath_exceptions,freshpath_item_choices",{},fk_child
business_products,11,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,50.0,fk_child_rows:business_provenance_events,{},fk_child
game_bet_operators,1,WITNESS MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,1,0,1,0,W,50.0,"trigger:thy_name_guard; reader_fn:game_bet_ticket_gate; fk_child_rows:game_bet_casino_games,game_bet_staff_roster",{},fk_child
productions,16,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,45.0,fk_child_rows:production_tasks,{},"repo:.github/workflows/patch-dashboard-r6.yml,.github/workflows/patch-dashboard-r7-repair.yml; fk_child"
products,28,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,40.0,"trigger:thy_name_guard; reader_fn:thylora_dashboard_completion_v1,thylora_block_unreleased_checkout_product,thylora_process_stripe_checkout_completed; view:thylora_conveyor_candidates,thylora_sales_readiness_v1; fk_child_rows:business_products,digital_product_passports,order_items; edge:dash,lemon-squeezy-webhook,p0-checkout",{},"surface_fn:thylora_dashboard_completion_v1,thy_omniview_topic,thylora_operating_surface_v1; view; repo:.github/workflows/patch-dashboard-r6.yml,.github/workflows/patch-dashboard-r7-repair.yml; edge; fk_child"
legal_matter,8,WITNESS MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,1,0,1,0,W,37.5,trigger:thy_name_guard; fk_child_rows:legal_opinion,{},fk_child
membership_plans,7,WITNESS MISSING,POLICY/REGISTRY,COMMERCE,1,1,1,0,1,0,W,37.5,fk_child_rows:prices,{},fk_child
prices,7,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,1,0,W,37.5,"reader_fn:thylora_process_stripe_checkout_completed,thylora_question_quest_commercial_v1; edge:p0-checkout",{},"repo:app/sports-betting.html,public-site/store.html; edge"
thylora_bank_security_events,24,TRANSFER MISSING,EVENT,SAFETY/LEGAL,1,1,1,1,0,0,T,37.5,"writer_fn:thylora_bank_place_fraud_hold,thylora_bank_release_hold; reader_fn:thylora_bank_place_fraud_hold,thylora_bank_release_hold","{""row_evidence_fields"": 24}",
thylora_product_entitlements,3,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,1,0,W,37.5,"writer_fn:grant_thylora_chairman_delivery_test_v1,thylora_process_product_stripe_checkout_completed_v1,thylora_commerce_ingest_order_event_v1; trigger:trg_submit_open_on_entitlement; reader_fn:grant_thylora_chairman_delivery_test_v1,thylora_process_product_stripe_checkout_completed_v1,thylora_customer_library_v1; view:thylora_fulfillment_reconciliation_candidates; fk_child_rows:thylora_delivery_attempts,thylora_entitlement_access_log; edge:thylora-protected-download",{},"surface_fn:grant_thylora_chairman_delivery_test_v1,thylora_customer_library_v1; view; edge; fk_child"
thylora_security_posts,17,WITNESS MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,1,0,1,0,W,37.5,view:thylora_security_staffing_requirement_v1; fk_child_rows:thylora_security_rotations,{},view; fk_child
digital_product_passports,2,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,35.0,trigger:thy_name_guard; fk_child_rows:business_products,{},fk_child
businesses,7,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,33.75,"trigger:thy_name_guard; fk_child_rows:business_accounts,business_locations,business_products",{},"repo:app/app.js,rae-link/index.html; fk_child"
family_profiles,8,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,33.75,"reader_fn:get_thylora_dashboard_identity_admin_v1,issue_thylora_dashboard_identity_invite_v1; fk_child_rows:ersatzreality_financial_accounts,family_media,family_reports; edge:thylora-department-talk",{},"surface_fn:get_thylora_dashboard_identity_admin_v1,issue_thylora_dashboard_identity_invite_v1; repo:dashboard-current-head.html; edge; fk_child"
game_bet_staff_roster,9,WITNESS MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,1,0,1,0,W,31.25,reader_fn:thylora_person_roster_v1,{},repo:app/sports-betting.js
thylora_security_rotations,16,WITNESS MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,1,0,1,0,W,31.25,view:thylora_security_staffing_requirement_v1,{},view
thylora_security_zones,12,WITNESS MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,1,0,1,0,W,31.25,view:thylora_security_staffing_requirement_v1; fk_child_rows:thylora_security_posts,{},view; fk_child
thylora_store_shelves,13,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,1,0,W,31.25,reader_fn:thylora_store_home_v1; fk_child_rows:thylora_store_shelf_assignments,{},fk_child
business_accounts,17,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,30.0,"trigger:thy_name_guard; fk_child_rows:thylora_bank_credit_facilities,thylora_bank_security_events",{},fk_child
family_story_archives,11,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,30.0,"fk_child_rows:family_story_audit,family_story_products",{},"repo:app/app.js,app/hotfix-20260831.js; fk_child"
freshpath_service_workers,3,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,30.0,"reader_fn:freshpath_now_board_v1,thylora_worker_spotlight_v1; fk_child_rows:freshpath_exceptions,freshpath_orders,freshpath_preferred_workers",{},fk_child
thylora_ip_rights_parties,0,POPULATION MISSING,OPERATIONAL,SAFETY/LEGAL,1,0,1,0,1,0,PW,30.0,reader_fn:thylora_evaluate_rights_gate; fk_child_rows:thylora_ip_manifest_declarations,{},fk_child
thylora_visual_approvals,2,TRANSFER MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,1,0,0,T,30.0,trigger:thylora_visual_approvals_set_updated_at,"{""row_evidence_fields"": 2}",
thylora_world_market_instruments,6,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,27.5,trigger:thy_name_guard; fk_child_rows:thylora_world_market_ownership,{},fk_child
qq_credit_ledger,2,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,0,0,WT,26.25,writer_fn:qq_confirm_understanding_v1; reader_fn:qq_confirm_understanding_v1,{},
thylora_ip_consent_tokens,0,POPULATION MISSING,OPERATIONAL,SAFETY/LEGAL,1,0,1,1,0,0,PT,26.25,"trigger:trg_ip_consent_immutable; reader_fn:thylora_export_b2b_rights_package,thylora_evaluate_rights_gate","{""custody_trigger"": ""append_only""}",
approval_queue,23,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,"writer_fn:thy_record_approval_v1; trigger:thy_name_guard; reader_fn:thylora_recovery_heartbeat,thylora_approval_queue_safe_v1,thylora_chairman_dash_v1; fk_child_rows:design_revision; edge:department-router,thylora-executive-patrol",{},"surface_fn:thylora_chairman_dash_v1,thylora_control_surface_v1; edge; fk_child"
dashboard_status,55,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,"trigger:thy_name_guard; reader_fn:thylora_chairman_dash_v1,thylora_control_surface_v1; view:thylora_executive_board_v1; edge:dash,thylora-current-head,thylora-dashboard",{},"surface_fn:thylora_chairman_dash_v1,thylora_control_surface_v1; view; edge"
ersatzreality_financial_accounts,24,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,25.0,"writer_fn:thylora_bank_place_fraud_hold,thylora_bank_release_hold; trigger:thy_name_guard; reader_fn:thylora_bank_open_statement,thylora_bank_place_fraud_hold,thylora_bank_release_hold; view:six_current_head_v; fk_child_rows:thylora_bank_credit_facilities,thylora_bank_security_events,thylora_bank_statements",{},view; fk_child
family_identity_protection,9,WITNESS MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,1,0,1,0,W,25.0,trigger:thy_name_guard; view:six_current_head_v,{},view
legal_issue_queue,9,TRANSFER MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,1,1,0,0,T,25.0,trigger:thy_name_guard,"{""row_evidence_fields"": 4}",
member_dashboards,1,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,"writer_fn:claim_thylora_dashboard_identity_invite_v1; trigger:thylora_member_dashboard_eligibility_guard,thy_name_guard; reader_fn:claim_thylora_dashboard_identity_invite_v1",{},surface_fn:claim_thylora_dashboard_identity_invite_v1
production_assignments,188,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,trigger:thy_name_guard; reader_fn:thylora_chairman_dash_v1; fk_child_rows:thylora_completion_schedule,{},surface_fn:thylora_chairman_dash_v1; repo:dashboard-current-head.html; fk_child
qq_price_estimates,5,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,1,0,W,25.0,reader_fn:thylora_question_quest_commercial_v1; view:qq_margin_scenarios_v1,{},view
